country_iso3,currency,date,rate_local_per_usd,rate_type,source_name,source_url,source_tier,captured_at,notes
NGA,NGN,2026-01-15,1418.7844,official,Central Bank of Nigeria,https://www.cbn.gov.ng/api/GetAllExchangeRates,primary_filing,2026-09-21,"CBN US DOLLAR central rate (NFEM) for 2026-01-15, read from CBN GetExchangeRates API (buying 1418.2844 / central 1418.7844 / selling 1419.2844)"
NGA,NGN,2026-09-18,1330.7027,official,Central Bank of Nigeria,https://www.cbn.gov.ng/api/GetAllExchangeRates,primary_filing,2026-09-21,Latest CBN-published US DOLLAR central rate available (18 Sep 2026); CBN had not published a 21 Sep 2026 row at capture time
NGA,NGN,2026-01-16,1489,parallel,Nairametrics (cited by RateCaptain),https://ratecaptain.com/naira-slips-to-n1490-in-parallel-market-as-official-parallel-gap-widens-to-11-month-high/,trade_reporting,2026-09-21,"Nearest available date to base date 2026-01-15 (1 day later, Friday close). NOT interpolated. Article states parallel rate was 'between N1,489 and N1,490'; the lower bound is recorded and no averaging has been applied. Same-week official NAFEM rate quoted as N1,417.95"
NGA,NGN,2026-09-21,1380,parallel,Aboki Forex,https://abokiforex.app/,trade_reporting,2026-09-21,"Aboki Forex parallel/black-market USD buy rate at 13:14 WAT 21 Sep 2026; the same page quoted N1,331.2 as the CBN official rate. Kept separate from the CBN official row - never averaged"
KEN,KES,2026-01-15,129.03,official,Central Bank of Kenya,https://www.centralbank.go.ke/forex-exchange-rates/,primary_filing,2026-09-21,Exact base date. CBK 'Commercial Banks' Average Exchange Rates' indicative sheet for 15-Jan-26 (scanned PDF published on the CBK site)
KEN,KES,2026-09-18,129.49,official,Central Bank of Kenya,https://www.centralbank.go.ke/forex-exchange-rates/,primary_filing,2026-09-21,"Most recent CBK indicative sheet available at capture (18-Sep-26). CBK's machine-readable daily table endpoint is stale (last row Jan 2024), so the scanned daily PDF was read instead"
ZAF,ZAR,2026-01-15,16.4105,official,South African Reserve Bank,https://custom.resbank.co.za/SarbWebApi/WebIndicators/Shared/GetTimeseriesObservations/EXCX135D/2026-01-01/2026-09-21,primary_filing,2026-09-21,"SARB series EXCX135D 'Rand per US Dollar' (weighted average of banks' daily rates ~10:30), exact base date"
ZAF,ZAR,2026-09-21,16.2057,official,South African Reserve Bank,https://custom.resbank.co.za/SarbWebApi/WebIndicators/Shared/GetTimeseriesObservations/EXCX135D/2026-01-01/2026-09-21,primary_filing,2026-09-21,"SARB series EXCX135D, value for 2026-09-21 (same-day)"
GHA,GHS,2026-01-15,10.80,official,Yahoo Finance (USDGHS=X),https://query1.finance.yahoo.com/v8/finance/chart/USDGHS=X?period1=1767225600&period2=1790035200&interval=1d,trade_reporting,2026-09-21,"Bank of Ghana daily FX page (bog.gov.gh) was unreachable from this network on every attempt (connection timeout), so an aggregator daily close is used. Aggregator, not a central bank"
GHA,GHS,2026-09-21,11.48,official,Yahoo Finance (USDGHS=X),https://query1.finance.yahoo.com/v8/finance/chart/USDGHS=X?period1=1767225600&period2=1790035200&interval=1d,trade_reporting,2026-09-21,Bank of Ghana site unreachable at capture; aggregator daily close for 2026-09-21
EGY,EGP,2026-01-15,47.2692,official,Yahoo Finance (USDEGP=X),https://query1.finance.yahoo.com/v8/finance/chart/USDEGP=X?period1=1767225600&period2=1790035200&interval=1d,trade_reporting,2026-09-21,"Central Bank of Egypt publishes only the current day on its public page and its historical API (api/statistics/GetHistoricalData) did not return data, so an aggregator rate is used for the base date. Aggregator, not a central bank"
EGY,EGP,2026-09-21,51.8636,official,Central Bank of Egypt,https://www.cbe.org.eg/en/economic-research/statistics/cbe-exchange-rates,primary_filing,2026-09-21,"CBE official exchange rate page, 'Rates for Date: 21/09/2026'. 51.8636 is the BUY rate; the SELL rate on the same page is 51.9985. Neither averaged"
MAR,MAD,2026-01-15,9.2216,official,Bank Al-Maghrib,https://www.bkam.ma/Marches/Principaux-indicateurs/Marche-des-changes/Cours-de-change/Cours-de-reference,primary_filing,2026-09-21,Bank Al-Maghrib 'Cours de reference' CSV export for 15/01/2026: 1 DOLLAR U.S.A. = 9.2216 MAD. Exact base date
MAR,MAD,2026-09-18,9.5119,official,Bank Al-Maghrib,https://www.bkam.ma/Marches/Principaux-indicateurs/Marche-des-changes/Cours-de-change/Cours-de-reference,primary_filing,2026-09-21,"Bank Al-Maghrib reference-rate export, latest available column (18/09/2026): 1 DOLLAR U.S.A. = 9.5119 MAD"
ETH,ETB,2026-01-15,154.899994,official,Yahoo Finance (USDETB=X),https://query1.finance.yahoo.com/v8/finance/chart/USDETB=X?period1=1767225600&period2=1790035200&interval=1d,trade_reporting,2026-09-21,"National Bank of Ethiopia publishes its daily FX table via client-side JavaScript with no retrievable JSON/CSV endpoint, so an aggregator daily close is used for the base date. Aggregator, not the central bank"
ETH,ETB,2026-09-18,160.649994,official,Yahoo Finance (USDETB=X),https://query1.finance.yahoo.com/v8/finance/chart/USDETB=X?period1=1767225600&period2=1790035200&interval=1d,trade_reporting,2026-09-21,"Aggregator daily close for the most recent available date (2026-09-18); consistent in level with NBE-referenced reporting of ~161 ETB/USD in late September 2026. Aggregator, not the central bank"
ETH,ETB,2026-09-21,175,parallel,ETCurrency,https://etcurrency.com/usd-to-etb-black-market,trade_reporting,2026-09-21,"Parallel/black-market rate published for 21 Sep 2026: 'approximately 175 ETB to buy one US dollar and 178 ETB to sell, while the official NBE rate sits near 161 ETB'. The buy figure is recorded and the stated ~10.3% street premium is not blended into any official row. Aggregator-published street rate, not an official quotation"
RWA,RWF,2026-01-15,1447.0,official,Yahoo Finance (USDRWF=X),https://query1.finance.yahoo.com/v8/finance/chart/USDRWF=X?period1=1767225600&period2=1790035200&interval=1d,trade_reporting,2026-09-21,"National Bank of Rwanda distributes FX data through an exchange-rate API that requires an application/registration (fxrates.bnr.rw), so an aggregator daily close is used. Exact base date. Aggregator, not a central bank"
RWA,RWF,2026-09-21,1467.849976,official,Yahoo Finance (USDRWF=X),https://query1.finance.yahoo.com/v8/finance/chart/USDRWF=X?period1=1767225600&period2=1790035200&interval=1d,trade_reporting,2026-09-21,"Aggregator daily close for 2026-09-21; BNR's own API is access-controlled. Aggregator, not a central bank"
SEN,XOF,2026-01-15,561.0,official,Yahoo Finance (USDXOF=X),https://query1.finance.yahoo.com/v8/finance/chart/USDXOF=X?period1=1767225600&period2=1790035200&interval=1d,trade_reporting,2026-09-21,"XOF is the CFA franc, pegged to the euro at a fixed 655.957 XOF = 1 EUR. BCEAO's reference page only serves the current day and would not return a January 2026 value, so an aggregator daily close is used for the base date. Aggregator, not a central bank"
SEN,XOF,2026-09-18,572.39,official,BCEAO (Central Bank of West African States),https://www.bceao.int/fr/cours/cours-de-reference-des-principales-devises-contre-Franc-CFA,primary_filing,2026-09-21,BCEAO 'Cours de reference des principales devises contre Franc CFA' for Friday 18 September 2026: Dollar us = 572.3900 FCFA per USD. Euro shown on the same table as 655.9570 (the peg). Latest BCEAO reference day available
CIV,XOF,2026-01-15,561.0,official,Yahoo Finance (USDXOF=X),https://query1.finance.yahoo.com/v8/finance/chart/USDXOF=X?period1=1767225600&period2=1790035200&interval=1d,trade_reporting,2026-09-21,"Cote d'Ivoire uses the same XOF/CFA franc as Senegal (BCEAO/UEMOA monetary union, peg 655.957 XOF = 1 EUR), so the XOF rate is identical. Base-date value from aggregator daily close (BCEAO archive not retrievable for that date). Aggregator, not a central bank"
CIV,XOF,2026-09-18,572.39,official,BCEAO (Central Bank of West African States),https://www.bceao.int/fr/cours/cours-de-reference-des-principales-devises-contre-Franc-CFA,primary_filing,2026-09-21,"Same BCEAO official XOF reference as Senegal (18 Sep 2026, Dollar us = 572.3900 FCFA). XOF is pegged to the EUR at 655.957; Senegal and Cote d'Ivoire share this single currency"
