bucket,date,source,title,url
jobs,Sep 9,TechAfrica News,Egypt Targets $8bn Outsourcing Exports as Digital Services Push Accelerates,https://techafricanews.com/2026/09/09/egypt-8bn-outsourcing-exports-digital-services/
jobs,Sep 9,iAfrica,How AI Is Reshaping Employment and Skills Development Across Africa,https://iafrica.com/how-ai-is-reshaping-employment-and-skills-development-across-africa/
jobs,Sep 8,allAfrica,Kenya: Remote Work 2.0 - Can Kenya Become Africa's Digital Services Hub?,https://allafrica.com/stories/202609080096.html
jobs,Sep 7,TechRound,"Inside Nairobi's AI Shock: What Happens After AI Wipes Out A 40,000-Worker Economy?",https://techround.co.uk/artificial-intelligence/inside-nairobis-ai-shock-what-happens-after-ai-wipes-out-a-40000-worker-economy/
jobs,Sep 7,Chosun Daily,"Generative AI Displaces Outsourcing Workers, Reshaping Industry",https://www.chosun.com/english/industry-en/2026/09/07/D6YS5J6V3FELVDTYW2AFHREAFI/
jobs,Sep 7,Africa Business,Africa's AI Productivity Push Needs a Talent-Pipeline Strategy,https://africabusiness.com/2026/09/07/africa-ai-productivity-talent-pipeline-strategy/
jobs,Sep 7,Daily Trust,AI and the Shrinking Career Ladder: Africa's New Employment Reality,https://dailytrust.com/ai-and-the-shrinking-career-ladder-africas-new-employment-reality/
jobs,Sep 5,The New York Times,Kenyans Made a Living Writing College Essays. Then A.I. Arrived.,https://www.nytimes.com/2026/09/05/technology/kenya-college-essays-ai.html
jobs,Sep 4,Outsource Accelerator,AI is making South Africa's call centers pricier,https://news.outsourceaccelerator.com/sa-ai-call-centers-cost/
jobs,Aug 30,Jacobin,AI Isn't Coming for Our Jobs. It's Coming for Our Wages.,https://jacobin.com/2026/08/ai-job-loss-wages-capital
jobs,Aug 27,IOL,South Africa's AI Readiness Puts It in a League of Its Own,https://iol.co.za/news/brics/2026-08-27-south-africas-ai-readiness-puts-it-in-a-league-of-its-own/
jobs,Aug 26,arXiv,From Producing to Validating: How AI Is Deskilling Freelancers,https://arxiv.org/abs/2608.26089
jobs,Aug 26,The Next Web,Bill Gates proposes 'Human Reserved' jobs and a tax on AI,https://thenextweb.com/news/bill-gates-human-reserved-jobs-ai
jobs,Aug 26,THISDAYLIVE,UNCTAD: AI-driven Automation May Affect 40% of Global Jobs as Market Hits $4.8tn by 2033,https://www.thisdaylive.com/2026/08/26/unctad-ai-driven-automation-may-affect-40-of-global-jobs-as-market-hits-4-8tn-by-2033/
jobs,Aug 22,HiPipo Money,"The World Is Looking for Digital Workers, and Africa Is Next",https://www.money.hipipo.com/2026/08/22/the-world-is-looking-for-digital-workers-and-africa-is-next/
jobs,Aug 20,Rio Times,South Africa's Unemployment Rate Climbs to 33.6% in Q2 2026,https://www.riotimesonline.com/south-africa-unemployment-rises-336-q2-2026/
jobs,Aug 19,arXiv,CentaurBench: Benchmarking LLM Capabilities on Augmenting vs. Automating Real-World Work Tasks,https://arxiv.org/abs/2608.18554
jobs,Aug 19,TechEconomy,AI is Making Call Centres More Expensive - Not Cheaper,https://techeconomy.ng/ai-is-making-call-centres-more-expensive-not-cheaper
jobs,Aug 17,allAfrica,Kenya: 'Jobs Will Be Lost' - Thigo Urges Kenyans to Adapt to AI Revolution,https://allafrica.com/stories/202608170255.html
jobs,Aug 17,The Sun Nigeria,AI disruption: 9m Nigerian jobs may disappear by 2030 –Experts,https://thesun.ng/ai-disruption-9m-nigerian-jobs-may-disappear-by-2030-experts/
jobs,Aug 17,arXiv,Stranded credentials: how a skill-signaling market absorbed generative AI,https://arxiv.org/abs/2608.17111
jobs,Aug 17,AllAfrica (Capital FM),"AI Will Take Some Jobs - but Create 78 Million More, Kenya's Tech Envoy Forecasts",https://allafrica.com/stories/202608170191.html
jobs,Aug 16,Capital Ethiopia,"Global youth unemployment rises to 67 million, ILO warns",https://capitalethiopia.com/2026/08/16/global-youth-unemployment-rises-to-67-million-ilo-warns/
jobs,Aug 13,TNW,Oracle plans fresh August layoffs as its AI spending spree bites,https://thenextweb.com/news/oracle-august-2026-layoffs-ai-capex
jobs,Aug 13,TechAfrica News,Kenya and AWS deepen partnership to build globally competitive digital talent,https://techafricanews.com/2026/08/13/kenya-and-aws-deepen-partnership-to-build-globally-competitive-digital-talent/
jobs,Aug 12,Outsource Accelerator,"AI-linked layoffs hit 205,000 workers in 2026: report",https://news.outsourceaccelerator.com/ai-layoffs-205000/
jobs,Aug 12,The Guardian,AI was supposed to destroy jobs. Where's the carnage?,https://www.theguardian.com/technology/2026/aug/12/ai-job-destruction
jobs,Aug 10,Right for Education,Artificial Intelligence: Driving a New Era of Employment in Africa,https://rightforeducation.org/2026/08/10/artificial-intelligence-new-era-of-employment/
jobs,Aug 9,Memeburn,White House adviser says companies may be 'AI-washing' layoffs,https://memeburn.com/white-house-adviser-says-companies-may-be-ai-washing-layoffs/
jobs,Aug 7,Techpoint Africa,The AI skills employers are actually paying for,https://techpoint.africa/insight/ai-skills-employers-look-for/
jobs,Aug 6,Techpoint Africa,"World Bank: AI won't replace most jobs in Africa, power and Internet remain major hurdles",https://techpoint.africa/news/ai-wont-replace-jobs-in-africa/
jobs,Aug 6,The Star Kenya,"AI offers jobs boost for developing countries, not job losses - World Bank",https://www.the-star.co.ke/business/2026-08-06-ai-offers-jobs-boost-for-developing-countries-not-job-losses-world-bank
jobs,Aug 6,The Economist,India's IT sector is surviving artificial intelligence,https://www.economist.com/finance-and-economics/2026/08/06/indias-it-sector-is-surviving-artificial-intelligence
jobs,Aug 5,GhanaWebbers,Workers Reflect on Challenges Amid AI Transition,https://www.ghanawebbers.com/GhanaHomePage/business/Workers-Reflect-on-Challenges-Amid-AI-Transition-2165040
jobs,Aug 4,BusinessDay NG,Nigeria faces AI crossroads as 9m jobs risk automation without local innovation,https://businessday.ng/technology/article/nigeria-faces-ai-crossroads-as-9m-jobs-risk-automation-without-local-innovation/
jobs,Jul 31,EWN,"AI is changing SA's call centres, but it won't replace every job: industry player",https://www.ewn.co.za/2026/07/31/ai-is-changing-sas-call-centres-but-it-wont-replace-every-job-industry-player
jobs,Jul 29,Fast Company,Fiverr stock today: Freelance marketplace's collapse proves AI is decimating the gig economy,https://www.fastcompany.com/91581820/fiverr-stock-today-fvrr-freelance-marketplace-collapse-proves-ai-is-decimating-gig-economy-2026-q2-earnings
jobs,Jul 29,Rio Times,AI Job Squeeze Threatens 3.3 Million South African Workers,https://www.riotimesonline.com/south-africa-call-centre-ai-job-squeeze-2026/
jobs,Jul 28,News24,Joburg call centre workers lose jobs amid big shift to AI,https://www.news24.com/business/tech/joburg-call-centre-workers-lose-jobs-amid-big-shift-to-ai-20260728-0785
jobs,Jul 27,Gartner,Gartner Survey: AI Automation Reducing Entry-Level Hiring at Nearly One-Quarter of Organizations,https://www.gartner.com/en/newsroom/press-releases/2026-7-27-gartner-survey-finds-ai-automation-is-reducing-some-entry-level-hiring-at-nearly-one-quarter-of-organizations
jobs,Jul 24,Morocco World News,Morocco Breaks Into Global Top 20 for AI-Ready Outsourcing,https://www.moroccoworldnews.com/2026/07/330825/morocco-breaks-into-global-top-20-for-ai-ready-outsourcing/
