provider,product,tier,price_usd_month,billing_period,local_price_available,local_price_amount,local_currency,students_or_regional_discount,discount_notes,free_tier_exists,free_tier_limit,free_tier_limit_period,model_on_free_tier,source_url,source_tier,captured_at,notes
OpenAI,ChatGPT,Free,0,monthly,no,,,no,No discount mechanism applies to a free plan; no local-currency variant is needed.,yes,"Unlimited text chats with GPT-5.6 Luna subject to abuse guardrails. Uploads ('limited messages with uploads'), image generation, voice chats, deep research, memory/context and Codex access are all described only as 'limited' - no numeric cap published.",not published,GPT-5.6 Luna,https://chatgpt.com/pricing/,official,2026-09-21,OpenAI states the free tier may include ads (US rollout planned). Prices on chatgpt.com/pricing are rendered client-side; figures captured 2026-09-21 via a text-rendering proxy of the same official URL.
OpenAI,ChatGPT,Go,8,monthly,yes,7000,NGN,yes,OpenAI: 'US price displayed. Go pricing is localized in some markets.' African local billing confirmed for Nigeria and Kenya; local storefronts also show ZAR and EGP tiers. The 'Go free for one year' student/access pilot was for India and selected markets - not verified for any African market.,yes,,,,https://openai.com/index/introducing-chatgpt-go/,official,2026-09-21,"USD 8/mo official (global rollout announcement, 16 Jan 2026). African local prices: Nigeria NGN 7,000 (TechCabal 23 Oct 2025; independently matched as the lowest Nigerian storefront tier, NGN 7,000, in the aggregator snapshot of 2026-09-21); Kenya reported approx KES 665 (Tuko, 26 Oct 2025); South Africa ZAR 149 and Egypt EGP 220 as the lowest local storefront tiers (aggregator, trade_reporting). Aggregator: https://opentherank.com/ai-pricing/chatgpt/"
OpenAI,ChatGPT,Plus,20,monthly,yes,31500,NGN,unclear,"No OpenAI student or regional discount programme for Plus was found on the official pricing page. Nigeria storefront price is above US parity (approx +18%), i.e. no purchasing-power discount.",yes,,,,https://chatgpt.com/pricing/,official,2026-09-21,"USD 20/mo official. Nigeria NGN 31,500/mo (approx USD 23.63, +18% vs US) per aggregator App Store/web storefront data captured 2026-09-21 (trade_reporting): https://opentherank.com/ai-pricing/chatgpt/ The aggregator's Nigeria table has three columns, headings Plus / Pro 5x / Pro 20x, with Nigeria at NGN 31,500 / 144,900 / 299,900. South Africa range ZAR 149.00 - 1,839.00 and Egypt range EGP 220.00 - 5,399.99 are whole-catalogue ranges (lowest to highest tier), so a per-tier South African or Egyptian Plus price cannot be read off them. Kenya per-tier local price not verified."
OpenAI,ChatGPT,Pro,100,monthly,yes,144900,NGN,unclear,Official page shows 'From $100/month' (5x usage). No student discount found. Nigeria storefront price runs above US parity.,yes,,,,https://chatgpt.com/pricing/,official,2026-09-21,"Official price is stated as 'From $100/month'; the Jan 2026 global-launch announcement quoted Pro at USD 200/mo, so the published entry price has moved. The aggregator splits Pro into two columns, 'Pro 5x' (US USD 100) and 'Pro 20x' (US USD 200); Nigeria is NGN 144,900 (Pro 5x) and NGN 299,900 (Pro 20x), captured 2026-09-21 (trade_reporting): https://opentherank.com/ai-pricing/chatgpt/ The same change log shows 'Pro 20x' being delisted in some markets during Sept 2026, so the top tier is not universally available."
Anthropic,Claude,Free,0,monthly,no,,,no,Not applicable to a free plan.,yes,"Chat on web, desktop and mobile; web search; file creation and code execution; memory across conversations; connectors; Create Artifacts; Projects (up to 5). Paid plans advertise 'more usage' but Anthropic publishes no numeric message cap for the free plan. Opus and Fable models are not available on free.",not published,Sonnet and Haiku (Opus/Fable excluded),https://claude.com/pricing,official,2026-09-21,Official feature-comparison table captured 2026-09-21.
Anthropic,Claude,Pro,20,monthly,yes,29900,NGN,yes,"Annual billing discount: USD 200 up front, shown as USD 17/month (approx 15% off) - no student verification required. Regional: Anthropic does not publish an African price list; Nigerian App Store tier exists in naira. An Education plan for universities exists via sales contact (no public price).",yes,,,,https://claude.com/pricing,official,2026-09-21,"USD 20/mo billed monthly, USD 17/mo equivalent annual (USD 200 up front) - official. African local tiers (App Store, trade aggregator captured 2026-09-21, columns confirmed as Pro / Max 5x / Max 20x): Nigeria NGN 29,900 (raised from NGN 14,900 in June 2026); South Africa from ZAR 399.99 (range ZAR 399.99 - 4,999.88 across Pro to Max 20x); Egypt approx USD 19.21, the 3rd cheapest Claude market globally. One trade report gives Nigeria NGN 27,603 (= USD 20) for the same period - figures conflict, so treat the naira amount as trade_reporting. Kenya local pricing: NOT verified. Sources: https://opentherank.com/ai-pricing/claude/nigeria/ and https://opentherank.com/ai-pricing/claude/"
Anthropic,Claude,Max 5x,100,monthly,yes,199900,NGN,unclear,No student discount found. Monthly billing only (official page lists no annual option for Max).,yes,,,,https://claude.com/pricing,official,2026-09-21,"Official page states 'From $100 Per month' for Max, with a choice of 5x or 20x more usage than Pro; USD 100 is the published entry price and matches the aggregator's 'Max 5x' column. Nigeria Max 5x NGN 199,900/mo (raised from NGN 100,000 in June 2026) per trade aggregator captured 2026-09-21: https://opentherank.com/ai-pricing/claude/nigeria/"
Anthropic,Claude,Max 20x,200,monthly,yes,399900,NGN,unclear,No student discount found; monthly billing only per official page.,yes,,,,https://www.aipricing.guru/subscriptions/claude-max-20x/,trade_reporting,2026-09-21,"UNVERIFIED ON OFFICIAL PAGE: claude.com/pricing says only 'From $100 Per month' and does not print the 20x figure. USD 200/mo comes from independent trackers checked 2026-09-21: https://www.aipricing.guru/subscriptions/claude-max-20x/ Nigeria Max 20x NGN 399,900/mo per trade aggregator (https://opentherank.com/ai-pricing/claude/). Flag for confirmation against the provider's own page."
Anthropic,Claude,Team standard seat,20,annual (USD 25 if billed monthly),no,,,unclear,Annual billing discount: USD 20/seat/mo billed annually vs USD 25 monthly. No student rate. Team is 2-150 seats.,yes,,,,https://claude.com/pricing,official,2026-09-21,"Team seat, not an individual consumer tier - included for completeness of the register."
Anthropic,Claude,Team premium seat,100,annual (USD 125 if billed monthly),no,,,unclear,Annual billing discount: USD 100/seat/mo billed annually vs USD 125 monthly. 5x more usage than standard seats.,yes,,,,https://claude.com/pricing,official,2026-09-21,"Team seat, not an individual consumer tier - included for completeness of the register."
Google,Gemini (Google AI plans),Free of charge,0,monthly,yes,0,NGN,yes,"Verified students can get Google AI Plus at no cost for one year (promotion banner on the official Gemini subscriptions page, captured 2026-09-21). Country list and eligibility for African markets not published on the page captured.",yes,"Free plan gives access to 3.6 Flash and 'varying access to 3.1 Pro', Deep Research, Gemini Live, Canvas, Gems, image generation/editing and 15 GB storage. Gemini app usage limits are compute-based, refresh every five hours up to a weekly limit, and can be topped up with AI credits; no numeric cap published.",5-hour refresh within a weekly cap (no numeric cap published),Gemini 3.6 Flash; varying access to Gemini 3.1 Pro,https://gemini.google/ng/subscriptions/,official,2026-09-21,"Localised as NGN 0 /month in Nigeria; the same page is published for Kenya (KES 0), South Africa (ZAR 0) and Egypt (EGP 0). Also https://gemini.google/subscriptions/?hl=en&gl=us https://gemini.google/ke/subscriptions/ https://gemini.google/za/subscriptions/ https://gemini.google/eg/subscriptions/"
Google,Gemini (Google AI plans),Google AI Plus,4.99,monthly,yes,7700,NGN,yes,"Students: Google AI Plus free for one year (official promotion banner). Google publishes separate local-currency price lists for every African market checked - this is genuine localised pricing, but it is set at or above USD parity (no purchasing-power discount): AI Plus NG NGN 7,700 / KE KES 900 / ZA ZAR 104.99 / EG EGP 249.99; AI Pro NG NGN 28,500 / KE KES 3,700 / ZA ZAR 429.99 / EG EGP 939.99; Ultra 5x NG NGN 89,000 / KE KES 12,500 / ZA ZAR 1,859.99 / EG EGP 2,199.99; Ultra 20x NG NGN 289,000 / KE KES 37,000 / ZA ZAR 4,299.99 / EG EGP 8,799.99.",yes,,,,https://gemini.google/subscriptions/?hl=en&gl=us,official,2026-09-21,"USD price read from the official page loaded for the US (gl=us); African local prices read from the official per-country pages: https://gemini.google/ng/subscriptions/ https://gemini.google/ke/subscriptions/ https://gemini.google/za/subscriptions/ https://gemini.google/eg/subscriptions/ Cross-checked against the independent aggregator snapshot of 2026-09-21 (https://opentherank.com/ai-pricing/gemini/), which reproduces the same Nigeria figures (AI Pro NGN 28,500, AI Plus NGN 7,700), puts Egypt's Google AI Pro App Store price at about USD 18.06 (roughly 10% BELOW US list, Egypt being the 3rd cheapest Gemini market globally) and gives a South Africa whole-catalogue range of ZAR 12.99 - ZAR 9,299.99. Kenya has official local pricing (https://gemini.google/ke/subscriptions/) but no trade cross-check was found. Ultra is a two-price tier (5x and 20x) and both are shown as 'Starting at'. CAUTION: one.google.com/about/plans loaded from Nigeria also lists an AI Plus bundle at NGN 15,000/mo (2 TB) versus NGN 7,700/mo (400 GB) on the Gemini page - two official Google surfaces disagree; the Gemini page figure is recorded here."
Google,Gemini (Google AI plans),Google AI Pro,19.99,monthly,yes,28500,NGN,unclear,"Google publishes separate local-currency price lists for every African market checked - this is genuine localised pricing, but it is set at or above USD parity (no purchasing-power discount): AI Plus NG NGN 7,700 / KE KES 900 / ZA ZAR 104.99 / EG EGP 249.99; AI Pro NG NGN 28,500 / KE KES 3,700 / ZA ZAR 429.99 / EG EGP 939.99; Ultra 5x NG NGN 89,000 / KE KES 12,500 / ZA ZAR 1,859.99 / EG EGP 2,199.99; Ultra 20x NG NGN 289,000 / KE KES 37,000 / ZA ZAR 4,299.99 / EG EGP 8,799.99.",yes,,,,https://gemini.google/subscriptions/?hl=en&gl=us,official,2026-09-21,"USD price read from the official page loaded for the US (gl=us); African local prices read from the official per-country pages: https://gemini.google/ng/subscriptions/ https://gemini.google/ke/subscriptions/ https://gemini.google/za/subscriptions/ https://gemini.google/eg/subscriptions/ Cross-checked against the independent aggregator snapshot of 2026-09-21 (https://opentherank.com/ai-pricing/gemini/), which reproduces the same Nigeria figures (AI Pro NGN 28,500, AI Plus NGN 7,700), puts Egypt's Google AI Pro App Store price at about USD 18.06 (roughly 10% BELOW US list, Egypt being the 3rd cheapest Gemini market globally) and gives a South Africa whole-catalogue range of ZAR 12.99 - ZAR 9,299.99. Kenya has official local pricing (https://gemini.google/ke/subscriptions/) but no trade cross-check was found. Ultra is a two-price tier (5x and 20x) and both are shown as 'Starting at'. CAUTION: one.google.com/about/plans loaded from Nigeria also lists an AI Plus bundle at NGN 15,000/mo (2 TB) versus NGN 7,700/mo (400 GB) on the Gemini page - two official Google surfaces disagree; the Gemini page figure is recorded here."
Google,Gemini (Google AI plans),Google AI Ultra 5x,99.99,monthly,yes,89000,NGN,unclear,"Google publishes separate local-currency price lists for every African market checked - this is genuine localised pricing, but it is set at or above USD parity (no purchasing-power discount): AI Plus NG NGN 7,700 / KE KES 900 / ZA ZAR 104.99 / EG EGP 249.99; AI Pro NG NGN 28,500 / KE KES 3,700 / ZA ZAR 429.99 / EG EGP 939.99; Ultra 5x NG NGN 89,000 / KE KES 12,500 / ZA ZAR 1,859.99 / EG EGP 2,199.99; Ultra 20x NG NGN 289,000 / KE KES 37,000 / ZA ZAR 4,299.99 / EG EGP 8,799.99.",yes,,,,https://gemini.google/subscriptions/?hl=en&gl=us,official,2026-09-21,"USD price read from the official page loaded for the US (gl=us); African local prices read from the official per-country pages: https://gemini.google/ng/subscriptions/ https://gemini.google/ke/subscriptions/ https://gemini.google/za/subscriptions/ https://gemini.google/eg/subscriptions/ Cross-checked against the independent aggregator snapshot of 2026-09-21 (https://opentherank.com/ai-pricing/gemini/), which reproduces the same Nigeria figures (AI Pro NGN 28,500, AI Plus NGN 7,700), puts Egypt's Google AI Pro App Store price at about USD 18.06 (roughly 10% BELOW US list, Egypt being the 3rd cheapest Gemini market globally) and gives a South Africa whole-catalogue range of ZAR 12.99 - ZAR 9,299.99. Kenya has official local pricing (https://gemini.google/ke/subscriptions/) but no trade cross-check was found. Ultra is a two-price tier (5x and 20x) and both are shown as 'Starting at'. CAUTION: one.google.com/about/plans loaded from Nigeria also lists an AI Plus bundle at NGN 15,000/mo (2 TB) versus NGN 7,700/mo (400 GB) on the Gemini page - two official Google surfaces disagree; the Gemini page figure is recorded here."
Google,Gemini (Google AI plans),Google AI Ultra 20x,199.99,monthly,yes,289000,NGN,unclear,"Google publishes separate local-currency price lists for every African market checked - this is genuine localised pricing, but it is set at or above USD parity (no purchasing-power discount): AI Plus NG NGN 7,700 / KE KES 900 / ZA ZAR 104.99 / EG EGP 249.99; AI Pro NG NGN 28,500 / KE KES 3,700 / ZA ZAR 429.99 / EG EGP 939.99; Ultra 5x NG NGN 89,000 / KE KES 12,500 / ZA ZAR 1,859.99 / EG EGP 2,199.99; Ultra 20x NG NGN 289,000 / KE KES 37,000 / ZA ZAR 4,299.99 / EG EGP 8,799.99.",yes,,,,https://gemini.google/subscriptions/?hl=en&gl=us,official,2026-09-21,"USD price read from the official page loaded for the US (gl=us); African local prices read from the official per-country pages: https://gemini.google/ng/subscriptions/ https://gemini.google/ke/subscriptions/ https://gemini.google/za/subscriptions/ https://gemini.google/eg/subscriptions/ Cross-checked against the independent aggregator snapshot of 2026-09-21 (https://opentherank.com/ai-pricing/gemini/), which reproduces the same Nigeria figures (AI Pro NGN 28,500, AI Plus NGN 7,700), puts Egypt's Google AI Pro App Store price at about USD 18.06 (roughly 10% BELOW US list, Egypt being the 3rd cheapest Gemini market globally) and gives a South Africa whole-catalogue range of ZAR 12.99 - ZAR 9,299.99. Kenya has official local pricing (https://gemini.google/ke/subscriptions/) but no trade cross-check was found. Ultra is a two-price tier (5x and 20x) and both are shown as 'Starting at'. CAUTION: one.google.com/about/plans loaded from Nigeria also lists an AI Plus bundle at NGN 15,000/mo (2 TB) versus NGN 7,700/mo (400 GB) on the Gemini page - two official Google surfaces disagree; the Gemini page figure is recorded here."
Microsoft,Copilot,Copilot (free),0,monthly,unclear,,,unclear,No student discount confirmed for the free Copilot experience. Microsoft 365 plans carry separate student pricing not verified here.,yes,'A free tier is available with a Microsoft account... with some capabilities subject to usage limits and more available through paid plans.' No numeric cap published. Separate Microsoft wording: 'Microsoft offers a limited free version of Copilot subject to available capacity and limits.',not published (capacity-based),Not disclosed by Microsoft,https://copilot.com/,official,2026-09-21,Free tier confirmed on the official Copilot FAQ (copilot.com) and the official individuals pricing page (https://www.microsoft.com/en-us/microsoft-365-copilot/pricing/individuals). Local-currency/African retail pricing for Copilot consumer plans: not published.
Microsoft,Microsoft 365 (consumer) with Copilot,Microsoft 365 Premium (Copilot successor to Copilot Pro),19.99,monthly (USD 199.99/year),no,,,unclear,AI features in these consumer plans are limited to the subscription owner and cannot be shared; usage limits apply. Standalone Copilot Pro at USD 20/mo was retired for new subscribers in late 2025 and its features folded into Microsoft 365 Premium; existing subscriptions were sunset by 1 August 2026 per trade reporting. No African student or regional AI discount verified.,yes,,,,https://www.microsoft.com/en-us/microsoft-365-copilot/pricing/individuals,official,2026-09-21,"Official US prices captured 2026-09-21. AFRICAN AVAILABILITY FINDING: the official page returned 'This product is not available in your market.' for these paid tiers when loaded from Nigeria on 2026-09-21 (the banner appears on the paid plan cards on the US-localised page). Local-currency pricing for African markets: driven by Microsoft store availability, not published on this page. Microsoft 365 Copilot business/E7 seats are quote-only or USD 23.50-32.00/user/month paid yearly and are outside consumer scope."
Microsoft,Microsoft 365 (consumer) with Copilot,Microsoft 365 Personal (includes limited Copilot AI),9.99,monthly,no,,,unclear,AI features in these consumer plans are limited to the subscription owner and cannot be shared; usage limits apply. Standalone Copilot Pro at USD 20/mo was retired for new subscribers in late 2025 and its features folded into Microsoft 365 Premium; existing subscriptions were sunset by 1 August 2026 per trade reporting. No African student or regional AI discount verified.,yes,,,,https://www.microsoft.com/en-us/microsoft-365-copilot/pricing/individuals,official,2026-09-21,"Official US prices captured 2026-09-21. AFRICAN AVAILABILITY FINDING: the official page returned 'This product is not available in your market.' for these paid tiers when loaded from Nigeria on 2026-09-21 (the banner appears on the paid plan cards on the US-localised page). Local-currency pricing for African markets: driven by Microsoft store availability, not published on this page. Microsoft 365 Copilot business/E7 seats are quote-only or USD 23.50-32.00/user/month paid yearly and are outside consumer scope."
Microsoft,Microsoft 365 (consumer) with Copilot,Microsoft 365 Family (includes limited Copilot AI),12.99,monthly,no,,,unclear,AI features in these consumer plans are limited to the subscription owner and cannot be shared; usage limits apply. Standalone Copilot Pro at USD 20/mo was retired for new subscribers in late 2025 and its features folded into Microsoft 365 Premium; existing subscriptions were sunset by 1 August 2026 per trade reporting. No African student or regional AI discount verified.,yes,,,,https://www.microsoft.com/en-us/microsoft-365-copilot/pricing/individuals,official,2026-09-21,"Official US prices captured 2026-09-21. AFRICAN AVAILABILITY FINDING: the official page returned 'This product is not available in your market.' for these paid tiers when loaded from Nigeria on 2026-09-21 (the banner appears on the paid plan cards on the US-localised page). Local-currency pricing for African markets: driven by Microsoft store availability, not published on this page. Microsoft 365 Copilot business/E7 seats are quote-only or USD 23.50-32.00/user/month paid yearly and are outside consumer scope."
Microsoft,Microsoft 365 (consumer) with Copilot,Microsoft 365 Pro (highest Copilot usage),99.99,monthly,no,,,unclear,AI features in these consumer plans are limited to the subscription owner and cannot be shared; usage limits apply. Standalone Copilot Pro at USD 20/mo was retired for new subscribers in late 2025 and its features folded into Microsoft 365 Premium; existing subscriptions were sunset by 1 August 2026 per trade reporting. No African student or regional AI discount verified.,yes,,,,https://www.microsoft.com/en-us/microsoft-365-copilot/pricing/individuals,official,2026-09-21,"Official US prices captured 2026-09-21. AFRICAN AVAILABILITY FINDING: the official page returned 'This product is not available in your market.' for these paid tiers when loaded from Nigeria on 2026-09-21 (the banner appears on the paid plan cards on the US-localised page). Local-currency pricing for African markets: driven by Microsoft store availability, not published on this page. Microsoft 365 Copilot business/E7 seats are quote-only or USD 23.50-32.00/user/month paid yearly and are outside consumer scope."
xAI,Grok,Free,0,monthly,unclear,,,unclear,No student discount found. African local-currency pricing not published on the official page.,yes,Described only as 'generous limits' with 'higher rate limits' reserved for SuperGrok. No numeric cap published. Real-time web and X search limited on free; video/image generation and Grok Bot require paid tiers.,not published,Grok 4.6,https://x.ai/pricing,official,2026-09-21,Official plan cards captured 2026-09-21.
xAI,Grok,SuperGrok Lite,10,monthly,unclear,,,unclear,"No student or regional discount found; price comes from trade reporting, not the provider's price card.",yes,,,,https://x.ai/pricing,trade_reporting,2026-09-21,SuperGrok Lite appears in the official x.ai/pricing comparison table but its price is NOT printed in the plan cards captured on 2026-09-21. USD 10/mo is from independent trade coverage (announced March 2026). Treat as trade_reporting.
xAI,Grok,SuperGrok,30,monthly,yes,49900,NGN,unclear,"No student discount found. African local pricing exists (App Store tiers in naira, rand and Egyptian pounds) but runs ABOVE US parity - Nigeria is approx +25% versus the USD 30 list price.",yes,,,,https://x.ai/pricing,official,2026-09-21,"USD 30/mo from the official price card captured 2026-09-21. African App Store tiers (trade aggregator, columns confirmed as SuperGrok / SuperGrok Plus / SuperGrok Heavy): Nigeria NGN 49,900 (+25% vs US); Egypt EGP 1,499.99; South Africa range ZAR 93.99 - ZAR 54,000 across all three paid tiers. Kenya: not verified. Source: https://opentherank.com/ai-pricing/grok/"
xAI,Grok,SuperGrok Plus,100,monthly,yes,149900,NGN,unclear,No student or regional discount found. African local tiers are priced above US parity.,yes,,,,https://x.ai/pricing,official,2026-09-21,"USD 100/mo from the official price card captured 2026-09-21. African App Store tiers (trade aggregator): Nigeria NGN 149,900; Egypt EGP 4,999.99. Source: https://opentherank.com/ai-pricing/grok/"
xAI,Grok,SuperGrok Heavy,300,monthly,yes,499900,NGN,unclear,"No student or regional discount found; the USD price comes from trade reporting, not the provider's price card.",yes,,,,https://x.ai/pricing,trade_reporting,2026-09-21,"SuperGrok Heavy appears in the official x.ai/pricing comparison table but its price is NOT printed in the plan cards captured on 2026-09-21. USD 300/mo is from independent trade coverage; Nigeria NGN 499,900 and Egypt EGP 14,999.99 come from the trade aggregator (https://opentherank.com/ai-pricing/grok/). Treat as trade_reporting."
