provider,product,country_iso3,signup_available,accepts_local_cards,accepts_local_payment_rails,rails_noted,requires_foreign_card,requires_vpn_reported,evidence_type,evidence_status,temporal_status,headline_eligible,source_url,compiled
OpenAI,"ChatGPT (Plus/Go/Pro, web + apps) and OpenAI API",NGA,yes,no,no,"None documented for African markets. OpenAI documents local rails only for India (UPI), Indonesia (GoPay), Brazil (Pix), Korea (Kakao/Naver Pay), Philippines (GCash) and UK/EEA bank debit via Link.",true,false,reported,trade_reporting,measured,False,https://techcabal.com/2026/08/17/how-to-pay-for-premium-ai-tools-like-chatgpt-plus-and-claude-pro-in-nigeria/,2026-09-21
OpenAI,"ChatGPT (Plus/Go/Pro, web + apps) and OpenAI API",KEN,yes,unclear,no,"None documented for African markets. OpenAI documents local rails only for India (UPI), Indonesia (GoPay), Brazil (Pix), Korea (Kakao/Naver Pay), Philippines (GCash) and UK/EEA bank debit via Link.",unclear,false,provider_docs,official,measured,True,https://help.openai.com/en/articles/7947663-chatgpt-supported-countries,2026-09-21
OpenAI,"ChatGPT (Plus/Go/Pro, web + apps) and OpenAI API",ZAF,yes,unclear,no,"None documented for African markets. OpenAI documents local rails only for India (UPI), Indonesia (GoPay), Brazil (Pix), Korea (Kakao/Naver Pay), Philippines (GCash) and UK/EEA bank debit via Link.",unclear,false,provider_docs,official,measured,True,https://help.openai.com/en/articles/7947663-chatgpt-supported-countries,2026-09-21
OpenAI,"ChatGPT (Plus/Go/Pro, web + apps) and OpenAI API",GHA,yes,unclear,no,"None documented for African markets. OpenAI documents local rails only for India (UPI), Indonesia (GoPay), Brazil (Pix), Korea (Kakao/Naver Pay), Philippines (GCash) and UK/EEA bank debit via Link.",unclear,false,provider_docs,official,measured,True,https://help.openai.com/en/articles/7947663-chatgpt-supported-countries,2026-09-21
OpenAI,"ChatGPT (Plus/Go/Pro, web + apps) and OpenAI API",EGY,yes,unclear,no,"None documented for African markets. OpenAI documents local rails only for India (UPI), Indonesia (GoPay), Brazil (Pix), Korea (Kakao/Naver Pay), Philippines (GCash) and UK/EEA bank debit via Link.",unclear,false,provider_docs,official,measured,True,https://help.openai.com/en/articles/7947663-chatgpt-supported-countries,2026-09-21
OpenAI,"ChatGPT (Plus/Go/Pro, web + apps) and OpenAI API",MAR,yes,unclear,no,"None documented for African markets. OpenAI documents local rails only for India (UPI), Indonesia (GoPay), Brazil (Pix), Korea (Kakao/Naver Pay), Philippines (GCash) and UK/EEA bank debit via Link.",unclear,false,provider_docs,official,measured,True,https://help.openai.com/en/articles/7947663-chatgpt-supported-countries,2026-09-21
OpenAI,"ChatGPT (Plus/Go/Pro, web + apps) and OpenAI API",ETH,yes,unclear,no,"None documented for African markets. OpenAI documents local rails only for India (UPI), Indonesia (GoPay), Brazil (Pix), Korea (Kakao/Naver Pay), Philippines (GCash) and UK/EEA bank debit via Link.",unclear,false,provider_docs,official,measured,True,https://help.openai.com/en/articles/7947663-chatgpt-supported-countries,2026-09-21
OpenAI,"ChatGPT (Plus/Go/Pro, web + apps) and OpenAI API",RWA,yes,unclear,no,"None documented for African markets. OpenAI documents local rails only for India (UPI), Indonesia (GoPay), Brazil (Pix), Korea (Kakao/Naver Pay), Philippines (GCash) and UK/EEA bank debit via Link.",unclear,false,provider_docs,official,measured,True,https://help.openai.com/en/articles/7947663-chatgpt-supported-countries,2026-09-21
OpenAI,"ChatGPT (Plus/Go/Pro, web + apps) and OpenAI API",SEN,yes,unclear,no,"None documented for African markets. OpenAI documents local rails only for India (UPI), Indonesia (GoPay), Brazil (Pix), Korea (Kakao/Naver Pay), Philippines (GCash) and UK/EEA bank debit via Link.",unclear,false,provider_docs,official,measured,True,https://help.openai.com/en/articles/7947663-chatgpt-supported-countries,2026-09-21
OpenAI,"ChatGPT (Plus/Go/Pro, web + apps) and OpenAI API",CIV,yes,unclear,no,"None documented for African markets. OpenAI documents local rails only for India (UPI), Indonesia (GoPay), Brazil (Pix), Korea (Kakao/Naver Pay), Philippines (GCash) and UK/EEA bank debit via Link.",unclear,false,provider_docs,official,measured,True,https://help.openai.com/en/articles/7947663-chatgpt-supported-countries,2026-09-21
Anthropic,"Claude (Pro/Max, web + apps) and Claude API",NGA,yes,no,no,No local rails. Anthropic states it accepts credit and debit cards for all purchases and does not accept third-party processors such as PayPal or Venmo.,true,false,reported,trade_reporting,measured,False,https://techcabal.com/2026/08/17/how-to-pay-for-premium-ai-tools-like-chatgpt-plus-and-claude-pro-in-nigeria/,2026-09-21
Anthropic,"Claude (Pro/Max, web + apps) and Claude API",KEN,yes,unclear,no,No local rails. Anthropic states it accepts credit and debit cards for all purchases and does not accept third-party processors such as PayPal or Venmo.,unclear,false,provider_docs,official,measured,True,https://www.anthropic.com/supported-countries,2026-09-21
Anthropic,"Claude (Pro/Max, web + apps) and Claude API",ZAF,yes,unclear,no,No local rails. Anthropic states it accepts credit and debit cards for all purchases and does not accept third-party processors such as PayPal or Venmo.,unclear,false,provider_docs,official,measured,True,https://www.anthropic.com/supported-countries,2026-09-21
Anthropic,"Claude (Pro/Max, web + apps) and Claude API",GHA,yes,unclear,no,No local rails. Anthropic states it accepts credit and debit cards for all purchases and does not accept third-party processors such as PayPal or Venmo.,unclear,false,provider_docs,official,measured,True,https://www.anthropic.com/supported-countries,2026-09-21
Anthropic,"Claude (Pro/Max, web + apps) and Claude API",EGY,yes,unclear,no,No local rails. Anthropic states it accepts credit and debit cards for all purchases and does not accept third-party processors such as PayPal or Venmo.,unclear,false,provider_docs,official,measured,True,https://www.anthropic.com/supported-countries,2026-09-21
Anthropic,"Claude (Pro/Max, web + apps) and Claude API",MAR,yes,unclear,no,No local rails. Anthropic states it accepts credit and debit cards for all purchases and does not accept third-party processors such as PayPal or Venmo.,unclear,false,provider_docs,official,measured,True,https://www.anthropic.com/supported-countries,2026-09-21
Anthropic,"Claude (Pro/Max, web + apps) and Claude API",ETH,yes,unclear,no,No local rails. Anthropic states it accepts credit and debit cards for all purchases and does not accept third-party processors such as PayPal or Venmo.,unclear,false,provider_docs,official,measured,True,https://www.anthropic.com/supported-countries,2026-09-21
Anthropic,"Claude (Pro/Max, web + apps) and Claude API",RWA,yes,unclear,no,No local rails. Anthropic states it accepts credit and debit cards for all purchases and does not accept third-party processors such as PayPal or Venmo.,unclear,false,provider_docs,official,measured,True,https://www.anthropic.com/supported-countries,2026-09-21
Anthropic,"Claude (Pro/Max, web + apps) and Claude API",SEN,yes,unclear,no,No local rails. Anthropic states it accepts credit and debit cards for all purchases and does not accept third-party processors such as PayPal or Venmo.,unclear,false,provider_docs,official,measured,True,https://www.anthropic.com/supported-countries,2026-09-21
Anthropic,"Claude (Pro/Max, web + apps) and Claude API",CIV,yes,unclear,no,No local rails. Anthropic states it accepts credit and debit cards for all purchases and does not accept third-party processors such as PayPal or Venmo.,unclear,false,provider_docs,official,measured,True,https://www.anthropic.com/supported-countries,2026-09-21
Google,Gemini app + Gemini API / Google AI Studio + Google AI Pro (Google One),NGA,yes,yes,no,Verve (local card scheme) accepted; no mobile-money/carrier rail listed.,false,false,provider_docs,official,measured,True,https://support.google.com/googleplay/answer/2651410?hl=en&co=GENIE.CountryCode%3DNG,2026-09-21
Google,Gemini app + Gemini API / Google AI Studio + Google AI Pro (Google One),KEN,yes,yes,yes,Airtel Money carrier wallet accepted per Google's Kenya Play page; M-Pesa Xpress billing documented by Safaricom as a Google Play payment option for Kenyan M-PESA accounts; cards JCB/Mastercard/Visa accepted.,false,false,provider_docs,official,measured,True,https://support.google.com/googleplay/answer/2651410?hl=en&co=GENIE.CountryCode%3DKE,2026-09-21
Google,Gemini app + Gemini API / Google AI Studio + Google AI Pro (Google One),ZAF,yes,yes,yes,"Mobile phone billing via MTN, Telkom, Vodacom; cards American Express/Mastercard/PayPal/Visa.",false,false,provider_docs,official,measured,True,https://support.google.com/googleplay/answer/2651410?hl=en&co=GENIE.CountryCode%3DZA,2026-09-21
