metric,scope,change_pct,type,date,source,url,note
Entry-level price band,Nigeria,,actual,2026-09-08,Legit.ng,https://www.legit.ng/business-economy/technology/,"NGN 150,000-300,000"
"Average selling price, 2026",Global,27.6,projection,2026-09-05,IDC,https://my.idc.com/getdoc.jsp?containerId=IDC_P37251,"Revised up from a $550 forecast a quarter earlier, with brands passing increased costs to buyers."
Device prices,Middle East & Africa,18,actual,2026-09-05,IDC via aggregated reporting,https://my.idc.com/getdoc.jsp?containerId=IDC_P37251,"Existing models up about 15% globally, new launches 25% costlier, with the Middle East and Africa at 18%."
"Telecoms average selling price, H1 2026",South Africa,9.8,actual,2026-09-01,"NielsenIQ, State of the Retail Nation",https://mybroadband.co.za/news/smartphones/,"Unit sales fell 7.9% over the same period: more spent, fewer devices bought."
"Shipments, Q2 2026",Africa,-7,actual,2026-08-25,Omdia / Cyprus Mail,https://cyprus-mail.com/2026/08/25/africas-smartphone-market-suffers-first-decline-in-three-years/,"The first year-on-year decline in three years, driven by rising device prices."
"Shipments, 2026 forecast",Africa,-26,forecast,2026-08-20,Omdia,https://omdia.tech.informa.com/,Forecast cut to a 26% decline; market leader Transsion shipments fell 14% and its share slipped below 50%.
"Shipments, Q2 2026",Sub-$100 segment,-34,actual,2026-08-20,Omdia via TelecomLead,https://telecomlead.com/smartphone/africa-smartphone-shipments-fall-7-in-q2-2026-as-sub-100-devices-plunge-34,Close to 3 million units lost. The segment's share fell from 45% to 30% of African shipments in three quarters.
"DRAM contract price, Q2 2026",Global components,63,actual,2026-07-05,TrendForce,https://www.trendforce.com/presscenter/,58% to 63% quarter on quarter; NAND contract prices up 70% to 75%.
Device prices,Emerging markets,50,actual,2026-06-23,IDC,https://my.idc.com/getdoc.jsp?containerId=IDC_P37251,"Prices in several emerging markets up as much as 40% to 50%, weighing on price-sensitive demand."
"Device prices, 2026 projection",Nigeria,30,projection,2026-06-03,Aggregated reporting,https://techcabal.com/,"Market grew 8% in Q1 2026, but component costs were projected to lift device prices by up to 30%."
"Smartphone market growth, Q1 2026",South Africa,17,actual,2026-05-27,IDC,https://my.idc.com/getdoc.jsp?containerId=IDC_P37251,Continental market grew 3% in the same quarter as the premium mix shifted up.
Excise duty on smartphones,Kenya,25,proposal,2026-05-14,Kenya Finance Bill 2026,https://www.businessdailyafrica.com/bd/economy/kenya-finance-bill-2026-smartphones-excise-duty,"Proposed 25% excise duty, which would land directly on device prices."
"Shipment outlook, 2026",Africa,-25,forecast,2026-02-28,Legit.ng / analyst forecast,https://www.legit.ng/business-economy/technology/,Continental shipments projected to plunge nearly 25% as component costs push entry-level devices up.
