headline,source,date,url
Egypt Targets $8bn Outsourcing Exports as Digital Services Push Accelerates,TechAfrica News,Sep 9,https://techafricanews.com/2026/09/09/egypt-8bn-outsourcing-exports-digital-services/
How AI Is Reshaping Employment and Skills Development Across Africa,iAfrica,Sep 9,https://iafrica.com/how-ai-is-reshaping-employment-and-skills-development-across-africa/
Kenya: Remote Work 2.0 - Can Kenya Become Africa's Digital Services Hub?,allAfrica,Sep 8,https://allafrica.com/stories/202609080096.html
"Inside Nairobi's AI Shock: What Happens After AI Wipes Out A 40,000-Worker Economy?",TechRound,Sep 7,https://techround.co.uk/artificial-intelligence/inside-nairobis-ai-shock-what-happens-after-ai-wipes-out-a-40000-worker-economy/
"Generative AI Displaces Outsourcing Workers, Reshaping Industry",Chosun Daily,Sep 7,https://www.chosun.com/english/industry-en/2026/09/07/D6YS5J6V3FELVDTYW2AFHREAFI/
Africa's AI Productivity Push Needs a Talent-Pipeline Strategy,Africa Business,Sep 7,https://africabusiness.com/2026/09/07/africa-ai-productivity-talent-pipeline-strategy/
AI and the Shrinking Career Ladder: Africa's New Employment Reality,Daily Trust,Sep 7,https://dailytrust.com/ai-and-the-shrinking-career-ladder-africas-new-employment-reality/
Kenyans Made a Living Writing College Essays. Then A.I. Arrived.,The New York Times,Sep 5,https://www.nytimes.com/2026/09/05/technology/kenya-college-essays-ai.html
AI is making South Africa's call centers pricier,Outsource Accelerator,Sep 4,https://news.outsourceaccelerator.com/sa-ai-call-centers-cost/
AI Isn't Coming for Our Jobs. It's Coming for Our Wages.,Jacobin,Aug 30,https://jacobin.com/2026/08/ai-job-loss-wages-capital
South Africa's AI Readiness Puts It in a League of Its Own,IOL,Aug 27,https://iol.co.za/news/brics/2026-08-27-south-africas-ai-readiness-puts-it-in-a-league-of-its-own/
From Producing to Validating: How AI Is Deskilling Freelancers,arXiv,Aug 26,https://arxiv.org/abs/2608.26089
Bill Gates proposes 'Human Reserved' jobs and a tax on AI,The Next Web,Aug 26,https://thenextweb.com/news/bill-gates-human-reserved-jobs-ai
UNCTAD: AI-driven Automation May Affect 40% of Global Jobs as Market Hits $4.8tn by 2033,THISDAYLIVE,Aug 26,https://www.thisdaylive.com/2026/08/26/unctad-ai-driven-automation-may-affect-40-of-global-jobs-as-market-hits-4-8tn-by-2033/
