country_iso3,country_name,currency,monthly_minimum_wage,assumed_monthly_hours,hourly_derived,effective_date,source_url,source_title,source_tier,captured_at,notes
NGA,Nigeria,NGN,70000,173.3,403.92,2024-05-01,https://pavestoneslegal.com/wp-content/uploads/2024/08/The-National-Minimum-Wage-Amendment-Act-2024.pdf,The National Minimum Wage (Amendment) Act 2024: Key Updates and Practical Tips for Employers in Nigeria (Pavestones Legal; reproduces the Act),industry_body,2026-09-21,"National Minimum Wage (Amendment) Act 2024 raises the national minimum wage from NGN 30,000 to NGN 70,000 per MONTH (monthly is the statute's own unit). Act assented 29 July 2024 but the new rate is stated to take effect from 1 May 2024 (retroactive; employers owed the May-July 2024 difference). Review period shortened from 5 to 3 years. Working week: the Labour Act (Cap. L1) s.13 does NOT fix a universal weekly hour limit (normal hours are fixed by mutual agreement, collective bargaining or an industrial wages board); 40 h/week is the conventional full-time assumption (WageIndicator/Mywage.ng cite the 1981 law using 40 h), giving 40 x 52 / 12 = 173.33 h/month. CAVEAT: no free official gazette copy of the Act was located (nigerianlawguru / NSIWC sites not reachable); the NGN 70,000 figure and 1 May 2024 effective date come from a law-firm reproduction of the Act and multiple independent reports."
KEN,Kenya,KES,18047.40,195,92.55,2026-05-01,https://kenyalaw.org/akn/ke/act/ln/2026/108/eng@2026-06-26,"Regulation of Wages (General) (Amendment) Order, 2026 - Legal Notice No. 108 of 2026 (Kenya Gazette Supplement No. 160, 26 June 2026)",primary_filing,2026-09-21,"PRIMARY GAZETTE. Legal Notice No. 108 of 2026 substitutes the Schedule to the Regulation of Wages (General) Order and is deemed to have come into operation on 1 May 2026. Basic minimum MONTHLY wage for a general labourer (cleaner, sweeper, gardener, children's ayah, house servant, day watchman, messenger) in Nairobi, Mombasa, Kisumu, Nakuru and Eldoret cities = KSh 18,047.40 per month, EXCLUSIVE of housing allowance. Lower regional rates: KSh 16,650.95 (former municipalities and town councils of Mavoko, Ruiru, Limuru) and KSh 9,628.07 (all other areas). An earlier publication of the same order (Legal Notice No. 95 of 2026, Kenya Gazette Supplement No. 128, 29 May 2026) carries the same effective date and the same city rate but shows 9,268.07 for 'all other areas' vs 9,628.07 in LN 108 - an apparent discrepancy in the source. The Order also publishes statutory DAILY (KSh 868.44) and HOURLY (KSh 161.34) rates for the same occupation, stated in the schedule as INCLUSIVE of housing allowance; these do not reconcile with the basic monthly figure on any single hours convention (flagged as a source inconsistency, not converted). assumed_monthly_hours uses the 45 h/week full-time norm for Kenyan day work: 45 x 52 / 12 = 195.0. Sector-specific orders also exist (e.g. Regulation of Wages (Agricultural Industry) (Amendment) Order 2026, Legal Notice No. 96 of 2026)."
ZAF,South Africa,ZAR,,195,30.23,2026-03-01,https://www.gov.za/sites/default/files/gcis_document/202602/54075rg11941gon7083.pdf,"National Minimum Wage Act: National Minimum Wage Amendment 2026 - Government Gazette No. 54075, Notice No. 7083 (3 February 2026)",primary_filing,2026-09-21,"PRIMARY GAZETTE. National Minimum Wage Act 9 of 2018 (as amended): R30.23 per ORDINARY HOUR worked with effect from 1 March 2026 (Government Gazette No. 54075 of 3 February 2026, Notice 7083, substituting clause 1 of Schedule 1 as previously set by Gazette No. 52053 of 4 February 2025 at R28.79). Farm workers and domestic workers also R30.23/h; Expanded Public Works Programme workers R16.62/h. The statute sets an HOURLY rate, not a monthly one, so monthly_minimum_wage is left BLANK; hourly_derived carries the statute's own hourly rate (30.23) rather than a computed value. assumed_monthly_hours = 45 x 52 / 12 = 195.0, from the BCEA s.9 maximum ordinary hours of 45 per week; an indicative month at 195 h would be about R5,894.85, which is NOT a statutory monthly minimum. The gov.za PDF URL is the official gazette file (direct download returned an error from this environment; the gazette number, notice number, rate and date are corroborated by CRS, Global Business and Labour Guide summaries of the same gazette)."
GHA,Ghana,GHS,587.79,216,2.72,2026-01-01,https://www.myjoyonline.com/govt-increases-minimum-wage-by-9-effective-january-1/,"Gov't increases minimum wage by 9% effective January 1 (MyJoyOnline, 9 Nov 2025, reporting the National Tripartite Committee communique)",trade_reporting,2026-09-21,"The statutory form is a DAILY rate: the National Tripartite Committee, acting under s.113(1)(a) of the Labour Act 2003 (Act 651), set the 2026 National Daily Minimum Wage at GH 21.77 per day, effective 1 January 2026 (2025: GH 19.97; +9%). monthly_minimum_wage = GH 587.79 = 21.77 x 27 working days, using the NTC's own 27-working-day month convention (the NTC summary of the determination gives GH 587.8 for 27 working days; 2025 equivalent GH 539.19); it is a body-set conversion, not an independent estimate. assumed_monthly_hours = 27 days x 8 h = 216 (Labour Act 2003 s.33: maximum 8 h/day, 40 h/week). The NTC also recommended that the 2026 NDMW be tax-exempt. CAVEAT: no official NTC / Ministry of Employment and Labour Relations web source was reachable (mlgpp.gov.gh did not resolve, ghana.gov.gh returned no wage page); rate confirmed by multiple Ghanaian outlets reporting the NTC communique."
EGY,Egypt,EGP,7000,208,33.65,2025-03-01,https://sis.gov.eg/en/media-center/news/egypt-raises-minimum-wage-for-private-sector-to-egp-7-000/,"Egypt raises minimum wage for private sector to EGP 7,000 (Egypt State Information Service, 10 February 2025)",official,2026-09-21,"OFFICIAL government source (State Information Service). The National Council of Wages raised the private-sector minimum wage to EGP 7,000 per MONTH, effective 1 March 2025 (previously EGP 6,000 from April/May 2024; sixth increase in three years). The same decision set, for the first time, a minimum HOURLY wage for part-time workers of EGP 28 per hour, and an annual periodic raise of at least 3% of the social-insurance wage (floor EGP 250/month). Separate public-sector/state floor: EGP 8,000/month announced 1 April 2026 and effective July 2026 - that increase applies to state and public-sector employees, NOT the private-sector floor, which was still EGP 7,000 as of September 2026. assumed_monthly_hours: Egyptian Labour Law 12/2003 sets a 48-hour week, 48 x 52 / 12 = 208.0."
MAR,Morocco,MAD,,190.7,17.92,2026-01-01,http://www.portailjuridique.ma/2026/01/225983-29-2025-smig-smag.html,Decret n 2.25.983 du 29 decembre 2025 fixant le SMIG et le SMAG (text published in Bulletin Officiel n 7469),official,2026-09-21,"Decret n 2.25.983 of 29 December 2025, published in Bulletin Officiel no. 7469, sets the legal hourly minimum wage (SMIG) for NON-AGRICULTURAL activities at 17.92 MAD per HOUR with effect from 1 January 2026 (up from 17.10 MAD since January 2025; the second tranche of the 29 April 2024 tripartite agreement, which also covered CGEM and COMADER). Article 1 of the decree (Arabic text read): from 1 January 2026 the hourly minimum is fixed at 17.92 dirhams. The statute sets an HOURLY rate, so monthly_minimum_wage is left BLANK and hourly_derived carries the decree's own hourly figure. SMAG (agriculture) is set on a DAILY basis: 97.44 MAD/day. assumed_monthly_hours = 44 x 52 / 12 = 190.67, from the Moroccan Labour Code legal working week of 44 hours (2,288 h/year); an indicative gross month would be about 3,416.9 MAD at 190.67 h (Moroccan commentary commonly quotes about 3,422 MAD using 191 h/month) - neither is a statutory monthly figure. CAVEAT: mtfp.gov.ma did not resolve (DNS) and sgg.gov.ma served no usable bulletin page from this environment, so the decree text was read from a legal portal reproducing the Bulletin Officiel text, corroborated by Biladi, Medias24 and Upsilon Consulting."
ETH,Ethiopia,ETB,,,,,https://remotepeople.com/countries/ethiopia/employer-of-record/minimum-wage/,"Minimum Wage in Ethiopia 2026: No National Rate (RemotePeople employer guide, updated May 2026)",industry_body,2026-09-21,"NO STATUTORY MINIMUM WAGE. Ethiopia has no national minimum wage covering private-sector workers; the Labour Proclamation provides for minimum wage fixing but no Council of Ministers regulation has ever set one for the private sector. The frequently cited ETB 420 per month figure applies ONLY to federal public-sector employees and dates from 2012 (TradingEconomics reports Ethiopia's series as the lowest wage established within the public sector). All numeric fields are therefore left BLANK - there is no verifiable statutory private-sector rate to record. Working week, for reference only: the Labour Proclamation 1156/2019 sets 48 hours/week, i.e. 48 x 52 / 12 = 208.0 h/month, but it is not applied to a rate here because no rate exists. FLAG: no official source located - molsa.gov.et did not resolve from this environment."
RWA,Rwanda,RWF,,,,,https://www.playroll.com/payroll/rwanda,"How to Run Payroll in Rwanda: Employment Taxes & Setup (Playroll, updated April 2026)",trade_reporting,2026-09-21,"SECTORAL MINIMUM WAGES - THERE IS NO SINGLE NATIONAL RATE. Rwanda has no nationally enforced minimum wage. The only ever-statutory national figure is RWF 100 per day (about RWF 2,440 per month), set in 1974, never revised and not enforced. Wages are instead set per sector through sector agreements / ministerial orders. Lowest and highest sectoral rates found: LOWEST approximately RWF 500 per day (tea industry; range RWF 500-1,000/day); HIGHEST approximately RWF 5,000 per day (construction; range RWF 1,500-5,000/day depending on skill level). Mining: agreements between mining companies and the miners' union (May 2025) established a floor of about RWF 1,500 per day, with some companies paying RWF 2,000-4,000/day. monthly_minimum_wage is left BLANK because no single national figure exists (and the sectoral rates are daily, not monthly). FLAG: these sectoral ranges come from payroll/EOR guides (Playroll, G-P, minimum-wage.org) and a research portal, NOT from gazetted ministerial orders - no official Rwandan source (MIFOTRA publications, Official Gazette) yielded a current sector-by-sector table; mifotra.gov.rw and rwandaliir.org did not serve the relevant orders. Treat the ranges as indicative only."
SEN,Senegal,XOF,,173.3,370.526,2023-07-01,https://farafinanews.com/senegal-societe-economie-voici-le-nouveau-decret-fixant-le-smig-et-le-smag/,"Decret n 2023-1710 du 07 aout 2023 fixant le salaire minimum interprofessionnel garanti (SMIG) et le salaire minimum agricole garanti (SMAG) (full decree text, Journal Officiel no. 7653 du 19/08/2023)",trade_reporting,2026-09-21,"Decret n 2023-1710 du 07 aout 2023. Article 1: the hourly SMIG for workers on the 40-hour legal week is fixed at 370.526 FCFA. Article 2: the hourly SMAG (agricultural undertakings) is 236.865 FCFA. Article 6: the provisions take effect from 1 July 2023. It abrogates Decret n 2019-103 du 16 janvier 2019. The statute sets an HOURLY rate, so monthly_minimum_wage is left BLANK and hourly_derived carries the decree's own hourly figure. assumed_monthly_hours = 40 x 52 / 12 = 173.33, the 40-hour legal week being specified in the decree itself. Indicative monthly = 370.526 x 173.33 = about 64,224.5 FCFA; consistent with this, the ministerial arrete of 25 April 2025 on domestic workers sets category 1 at 64,223 FCFA/month. CAVEAT: the Journal Officiel is not freely accessible online; the decree text was read from a verbatim news reproduction, corroborated by WageIndicator (which cites Decret 2023-1710 revising the SMIG for the 40-hour week) and Financial Afrik ('Le Senegal augmente son SMIG de 11%'). Beware of widely circulated figures of about 52,500 FCFA/month, which correspond to Togo's SMIG, not Senegal's."
CIV,Cote d'Ivoire,XOF,75000,173.3,432.78,2023-01-01,https://afriref.dev/ci/minimum-wage,Cote d'Ivoire minimum wage (SMIG) 2026 - citing Decret n 2022-986 du 21 decembre 2022 (CNPS communique of 11 January 2023),industry_body,2026-09-21,"Decret n 2022-986 du 21 decembre 2022 portant revalorisation du SMIG raised the monthly SMIG (industry, commerce and services) from 60,000 to 75,000 FCFA per MONTH, effective 1 January 2023. Monthly is the statutory unit of the Ivorian SMIG, so no conversion was needed. assumed_monthly_hours = 40 x 52 / 12 = 173.33, from the Ivorian Code du travail legal working week of 40 hours. A separate agricultural minimum (SMAG) applies to farm work; the commonly circulated claim that the same decree set the SMAG at 39,960 FCFA/month is NOT substantiated by the decree, which has only three articles (Art. 1 fixes the SMIG at 75,000 from 1 January 2023; Art. 2 repeals contrary provisions, superseding Decret n 2013-791 du 20 novembre 2013; Art. 3 charges the Minister of Employment with execution) - no SMAG figure recorded. CAVEAT: the Journal Officiel is behind the SGG paywall (sgg.gouv.ci/jo.php) and is not freely published; the value is corroborated by the government spokesman's Conseil des ministres statement of 21 December 2022 (abidjan.net, pressecotedivoire, CCIL-CI) and by the CNPS 'Communique a l'attention des employeurs' of 11 January 2023."
