project,country,sponsors,capacity_mw,capex_usd,capex_local,status,announced,online,source,url
"Vodafone, Elsewedy and Cassava data centre",Egypt,"Vodafone, Elsewedy, Cassava Technologies",,1000000000,,announced,2026-09-08,,TechAfrica News,https://techafricanews.com/2026/09/08/egypt-vodafone-elsewedy-cassava-1bn-data-centre/
Nairobi Two (NBO2),Kenya,Digital Realty (iColo),6.4,,,operational,2026-09-07,2026-09-07,TechAfrica News,https://techafricanews.com/2026/09/07/digital-realty-opens-6-4mw-nairobi-two-data-center-east-africa/
Heka Data AI hub,Egypt,"Heka Data, US consortium",,,,exploring,2026-09-04,,TechAfrica News,https://techafricanews.com/2026/09/04/egypt-explores-major-data-centre-ai-hub-project-heka-data-us-consortium/
Cybastion AI hub,Cameroon,Cybastion,,75000000,,announced,2026-09-02,,FurtherAfrica,https://furtherafrica.com/2026/09/02/cybastion-cameroon-investment-anchors-a-75m-ai-hub/
NSIA AI data centre,Nigeria,Nigeria Sovereign Investment Authority,100,,,announced,2026-09-01,,BusinessDay,https://businessday.ng/technology/article/nsia-bets-on-100mw-ai-data-centre-to-power-nigerias-digital-economy/
Wiocc capital raise,Pan-African (connectivity),"Wiocc, Saudi and African backers",,300000000,,funding,2026-09-01,,TechCentral,https://techcentral.co.za/wiocc-300-million-afc-vision-invest/285628/
MTN AI-ready data centres,Nigeria; South Africa,"MTN, Al Ashram (UAE)",150,,,announced,2026-08-26,,Nairametrics / Bloomberg,https://nairametrics.com/2026/08/26/mtn-to-develop-150mw-ai-data-centres-in-nigeria-south-africa-with-uae-back
Huawei AI data centre bid,Egypt,Huawei,,,,exploring,2026-08-26,,Bloomberg,https://www.bloomberg.com/news/articles/2026-08-26/huawei-egypt-ai-ascend-chips-test-us-tech-diplomacy-nvidia-
Cassava AI Factory,South Africa,"Cassava Technologies, NVIDIA",,700000000,,operational,2026-08-26,2026-08-26,TechAfrica News,https://techafricanews.com/2026/08/26/cassava-ai-factory-ranks-36th-top500/
Nigeria cloud and AI investment target,Nigeria,Federal Government of Nigeria,,750000000,,policy_target,2026-08-24,2028-08,iAfrica.com,https://iafrica.com/nigeria-targets-750m-in-cloud-and-ai-infrastructure-investment-within-24-months-under-new-
Mombasa AI data centre,Kenya,Amaco (Greece),,,KES 194bn,announced,2026-08-17,,Business Daily Africa,https://www.businessdailyafrica.com/bd/corporate/technology/greek-firm-amaco-plans-sh194bn-ai-data-centre-5561
Project BRIDGE fibre programme,Nigeria,Federal Government of Nigeria,,,,under_construction,2026-08-10,,TechAfrica News,https://techafricanews.com/2026/08/10/project-bridge-enters-execution-phase-with-bridge-oa-incorporation/
Airtel Kenya data centre,Kenya,Airtel Africa,,150000000,,under_construction,2026-08-07,2027-07,TechAfrica News,https://techafricanews.com/2026/08/07/airtels-150m-kenya-data-centre-now-targets-july-2027-launch/
Hassan Allam data centres (first phase),Egypt,Hassan Allam,,400000000,,approved,2026-08-05,,Data Center Knowledge,https://www.datacenterknowledge.com/data-center-construction/new-data-center-developments-august-2026
Equinix Cape Town campus,South Africa,Equinix,,,,approved,2026-08-04,,FurtherAfrica,https://furtherafrica.com/2026/08/04/equinix-wins-approval-for-major-cape-town-data-centre-campus/
Cape Town hyperscale campus (two sites),South Africa,Undisclosed,174,,,approved,2026-07-24,,iAfrica,https://iafrica.com/cape-town-approves-two-hyperscale-data-centres-totalling-174mw-among-africas-largest-new-g
Côte d'Ivoire sovereign data centre,Côte d'Ivoire,Government of Côte d'Ivoire,,170000000,,approved,2026-07-20,,Developing Telecoms,https://developingtelecoms.com/telecom-business/telecom-investment-mergers/20549-cote-divoire-approves-starlin
Raxio expansion programme,"Pan-African (Angola, Mozambique, others)",Raxio Group,,380000000,,funding,2026-07-14,,TechAfrica News,https://www.techafricanews.com/2026/07/14/raxio-secures-over-us380-million-to-accelerate-africa-data-centre-ex
Gabon sovereign data centre,Gabon,Government of Gabon,,,,operational,2026-07-08,2026-07-08,ITWeb Africa,https://itweb.africa/article/gabon-launches-sovereign-data-centre/xnklOvz14JDq4Ymz
Google African cloud region (Nairobi),Kenya,Google Cloud,,,,announced,2026-07-06,2028,Tech In Africa,https://www.techinafrica.com/google-unveils-major-ai-and-cloud-expansion-across-africa/
Teraco portfolio (including JB7),South Africa,Teraco,228,,,under_construction,2026-07-01,2026-12,Voxilens (trade analysis),https://voxilens.com/
Africa Data Centres Accra,Ghana,Africa Data Centres (Cassava),30,,,under_construction,2026-06-01,,Trade press (Data Centres Africa),https://datacentresafrica.com/
