provider,product,country_iso3,signup_available,geo_restriction_notes,accepts_local_cards,accepts_local_payment_rails,rails_noted,requires_foreign_card,requires_vpn_reported,fx_or_billing_notes,evidence_type,tested_at,source_url,source_tier,captured_at,notes
OpenAI,"ChatGPT (Plus/Go/Pro, web + apps) and OpenAI API",NGA,yes,Listed by OpenAI as a supported country/territory for ChatGPT (web and mobile) and separately for API access; no geo block documented.,no,no,"None documented for African markets. OpenAI documents local rails only for India (UPI), Indonesia (GoPay), Brazil (Pix), Korea (Kakao/Naver Pay), Philippines (GCash) and UK/EEA bank debit via Link.",true,false,NGN (naira) localised subscription pricing is listed by OpenAI; API credit purchases are USD only.,reported,,https://techcabal.com/2026/08/17/how-to-pay-for-premium-ai-tools-like-chatgpt-plus-and-claude-pro-in-nigeria/,tier2_press_sponsored,2026-09-21T12:48:21Z,"Naira-issued cards are reported as declined at checkout (naira Mastercard/Verve not built for recurring international USD charges); users are directed to virtual USD cards. The TechCabal URL is a Partner/Press Room (sponsored) post, so treated as tier-2 press with a sponsorship caveat, not independent editorial. Signup availability is provider docs: https://help.openai.com/en/articles/7947663-chatgpt-supported-countries ; payment-method detail: https://help.openai.com/en/articles/10421635-multicurrency-billing (accepted methods for all countries = credit and debit cards)."
OpenAI,"ChatGPT (Plus/Go/Pro, web + apps) and OpenAI API",KEN,yes,Listed by OpenAI as a supported country/territory for ChatGPT (web and mobile) and separately for API access; no geo block documented.,unclear,no,"None documented for African markets. OpenAI documents local rails only for India (UPI), Indonesia (GoPay), Brazil (Pix), Korea (Kakao/Naver Pay), Philippines (GCash) and UK/EEA bank debit via Link.",unclear,false,No local-currency subscription pricing listed for this market (USD billing); OpenAI states API credit purchases are limited to USD.,provider_docs,,https://help.openai.com/en/articles/7947663-chatgpt-supported-countries,tier1_provider_docs,2026-09-21T12:48:21Z,"Signup = provider docs (https://help.openai.com/en/articles/7947663-chatgpt-supported-countries; API list https://developers.openai.com/api/docs/supported-countries). Payment method = credit/debit cards only for all countries (https://help.openai.com/en/articles/10421635-multicurrency-billing). Whether a card issued in this market is accepted is NOT stated by the provider and no source found -> unclear (not inferred). Tier-3 vendor/affiliate blogs claim local cards are often declined, but those are commercially interested parties and were not used as evidence."
OpenAI,"ChatGPT (Plus/Go/Pro, web + apps) and OpenAI API",ZAF,yes,Listed by OpenAI as a supported country/territory for ChatGPT (web and mobile) and separately for API access; no geo block documented.,unclear,no,"None documented for African markets. OpenAI documents local rails only for India (UPI), Indonesia (GoPay), Brazil (Pix), Korea (Kakao/Naver Pay), Philippines (GCash) and UK/EEA bank debit via Link.",unclear,false,ZAR localised subscription pricing is listed by OpenAI; API credit purchases are USD only.,provider_docs,,https://help.openai.com/en/articles/7947663-chatgpt-supported-countries,tier1_provider_docs,2026-09-21T12:48:21Z,"Signup = provider docs (https://help.openai.com/en/articles/7947663-chatgpt-supported-countries; API list https://developers.openai.com/api/docs/supported-countries). Payment method = credit/debit cards only for all countries (https://help.openai.com/en/articles/10421635-multicurrency-billing). Whether a card issued in this market is accepted is NOT stated by the provider and no source found -> unclear (not inferred). Tier-3 vendor/affiliate blogs claim local cards are often declined, but those are commercially interested parties and were not used as evidence."
OpenAI,"ChatGPT (Plus/Go/Pro, web + apps) and OpenAI API",GHA,yes,Listed by OpenAI as a supported country/territory for ChatGPT (web and mobile) and separately for API access; no geo block documented.,unclear,no,"None documented for African markets. OpenAI documents local rails only for India (UPI), Indonesia (GoPay), Brazil (Pix), Korea (Kakao/Naver Pay), Philippines (GCash) and UK/EEA bank debit via Link.",unclear,false,No local-currency subscription pricing listed for this market (USD billing); OpenAI states API credit purchases are limited to USD.,provider_docs,,https://help.openai.com/en/articles/7947663-chatgpt-supported-countries,tier1_provider_docs,2026-09-21T12:48:21Z,"Signup = provider docs (https://help.openai.com/en/articles/7947663-chatgpt-supported-countries; API list https://developers.openai.com/api/docs/supported-countries). Payment method = credit/debit cards only for all countries (https://help.openai.com/en/articles/10421635-multicurrency-billing). Whether a card issued in this market is accepted is NOT stated by the provider and no source found -> unclear (not inferred). Tier-3 vendor/affiliate blogs claim local cards are often declined, but those are commercially interested parties and were not used as evidence."
OpenAI,"ChatGPT (Plus/Go/Pro, web + apps) and OpenAI API",EGY,yes,Listed by OpenAI as a supported country/territory for ChatGPT (web and mobile) and separately for API access; no geo block documented.,unclear,no,"None documented for African markets. OpenAI documents local rails only for India (UPI), Indonesia (GoPay), Brazil (Pix), Korea (Kakao/Naver Pay), Philippines (GCash) and UK/EEA bank debit via Link.",unclear,false,EGP localised subscription pricing is listed by OpenAI; API credit purchases are USD only.,provider_docs,,https://help.openai.com/en/articles/7947663-chatgpt-supported-countries,tier1_provider_docs,2026-09-21T12:48:21Z,"Signup = provider docs (https://help.openai.com/en/articles/7947663-chatgpt-supported-countries; API list https://developers.openai.com/api/docs/supported-countries). Payment method = credit/debit cards only for all countries (https://help.openai.com/en/articles/10421635-multicurrency-billing). Whether a card issued in this market is accepted is NOT stated by the provider and no source found -> unclear (not inferred). Tier-3 vendor/affiliate blogs claim local cards are often declined, but those are commercially interested parties and were not used as evidence."
OpenAI,"ChatGPT (Plus/Go/Pro, web + apps) and OpenAI API",MAR,yes,Listed by OpenAI as a supported country/territory for ChatGPT (web and mobile) and separately for API access; no geo block documented.,unclear,no,"None documented for African markets. OpenAI documents local rails only for India (UPI), Indonesia (GoPay), Brazil (Pix), Korea (Kakao/Naver Pay), Philippines (GCash) and UK/EEA bank debit via Link.",unclear,false,No local-currency subscription pricing listed for this market (USD billing); OpenAI states API credit purchases are limited to USD.,provider_docs,,https://help.openai.com/en/articles/7947663-chatgpt-supported-countries,tier1_provider_docs,2026-09-21T12:48:21Z,"Signup = provider docs (https://help.openai.com/en/articles/7947663-chatgpt-supported-countries; API list https://developers.openai.com/api/docs/supported-countries). Payment method = credit/debit cards only for all countries (https://help.openai.com/en/articles/10421635-multicurrency-billing). Whether a card issued in this market is accepted is NOT stated by the provider and no source found -> unclear (not inferred). Tier-3 vendor/affiliate blogs claim local cards are often declined, but those are commercially interested parties and were not used as evidence."
OpenAI,"ChatGPT (Plus/Go/Pro, web + apps) and OpenAI API",ETH,yes,Listed by OpenAI as a supported country/territory for ChatGPT (web and mobile) and separately for API access; no geo block documented.,unclear,no,"None documented for African markets. OpenAI documents local rails only for India (UPI), Indonesia (GoPay), Brazil (Pix), Korea (Kakao/Naver Pay), Philippines (GCash) and UK/EEA bank debit via Link.",unclear,false,No local-currency subscription pricing listed for this market (USD billing); OpenAI states API credit purchases are limited to USD.,provider_docs,,https://help.openai.com/en/articles/7947663-chatgpt-supported-countries,tier1_provider_docs,2026-09-21T12:48:21Z,"Signup = provider docs (https://help.openai.com/en/articles/7947663-chatgpt-supported-countries; API list https://developers.openai.com/api/docs/supported-countries). Payment method = credit/debit cards only for all countries (https://help.openai.com/en/articles/10421635-multicurrency-billing). Whether a card issued in this market is accepted is NOT stated by the provider and no source found -> unclear (not inferred). Tier-3 vendor/affiliate blogs claim local cards are often declined, but those are commercially interested parties and were not used as evidence."
OpenAI,"ChatGPT (Plus/Go/Pro, web + apps) and OpenAI API",RWA,yes,Listed by OpenAI as a supported country/territory for ChatGPT (web and mobile) and separately for API access; no geo block documented.,unclear,no,"None documented for African markets. OpenAI documents local rails only for India (UPI), Indonesia (GoPay), Brazil (Pix), Korea (Kakao/Naver Pay), Philippines (GCash) and UK/EEA bank debit via Link.",unclear,false,No local-currency subscription pricing listed for this market (USD billing); OpenAI states API credit purchases are limited to USD.,provider_docs,,https://help.openai.com/en/articles/7947663-chatgpt-supported-countries,tier1_provider_docs,2026-09-21T12:48:21Z,"Signup = provider docs (https://help.openai.com/en/articles/7947663-chatgpt-supported-countries; API list https://developers.openai.com/api/docs/supported-countries). Payment method = credit/debit cards only for all countries (https://help.openai.com/en/articles/10421635-multicurrency-billing). Whether a card issued in this market is accepted is NOT stated by the provider and no source found -> unclear (not inferred). Tier-3 vendor/affiliate blogs claim local cards are often declined, but those are commercially interested parties and were not used as evidence."
OpenAI,"ChatGPT (Plus/Go/Pro, web + apps) and OpenAI API",SEN,yes,Listed by OpenAI as a supported country/territory for ChatGPT (web and mobile) and separately for API access; no geo block documented.,unclear,no,"None documented for African markets. OpenAI documents local rails only for India (UPI), Indonesia (GoPay), Brazil (Pix), Korea (Kakao/Naver Pay), Philippines (GCash) and UK/EEA bank debit via Link.",unclear,false,No local-currency subscription pricing listed for this market (USD billing); OpenAI states API credit purchases are limited to USD.,provider_docs,,https://help.openai.com/en/articles/7947663-chatgpt-supported-countries,tier1_provider_docs,2026-09-21T12:48:21Z,"Signup = provider docs (https://help.openai.com/en/articles/7947663-chatgpt-supported-countries; API list https://developers.openai.com/api/docs/supported-countries). Payment method = credit/debit cards only for all countries (https://help.openai.com/en/articles/10421635-multicurrency-billing). Whether a card issued in this market is accepted is NOT stated by the provider and no source found -> unclear (not inferred). Tier-3 vendor/affiliate blogs claim local cards are often declined, but those are commercially interested parties and were not used as evidence."
OpenAI,"ChatGPT (Plus/Go/Pro, web + apps) and OpenAI API",CIV,yes,Listed by OpenAI as a supported country/territory for ChatGPT (web and mobile) and separately for API access; no geo block documented.,unclear,no,"None documented for African markets. OpenAI documents local rails only for India (UPI), Indonesia (GoPay), Brazil (Pix), Korea (Kakao/Naver Pay), Philippines (GCash) and UK/EEA bank debit via Link.",unclear,false,No local-currency subscription pricing listed for this market (USD billing); OpenAI states API credit purchases are limited to USD.,provider_docs,,https://help.openai.com/en/articles/7947663-chatgpt-supported-countries,tier1_provider_docs,2026-09-21T12:48:21Z,"Signup = provider docs (https://help.openai.com/en/articles/7947663-chatgpt-supported-countries; API list https://developers.openai.com/api/docs/supported-countries). Payment method = credit/debit cards only for all countries (https://help.openai.com/en/articles/10421635-multicurrency-billing). Whether a card issued in this market is accepted is NOT stated by the provider and no source found -> unclear (not inferred). Tier-3 vendor/affiliate blogs claim local cards are often declined, but those are commercially interested parties and were not used as evidence."
